Организация;Год;Фамилия и инициалы лица, чьи сведения размещаются;Владелец;Должность;вид объекта;вид собственности;площадь (кв. м);страна расположения;вид объекта;площадь (кв. м);страна расположения;Транспортные средства (вид, марка);Декларированный годовой доход <1> (руб.);Сведения об источниках получения средств, за счет которых совершена сделка <2> (вид приобретенного имущества, источники)
"МВД Республика Коми";"2014";"Коновалов А.А.";"";"заместитель министра внутренних дел по Республике Коми-начальник полиции";"земельный участок";"индивидуальная";"800";"Россия";"квартира";"70";"Россия";"-";"2040151.06";""
"МВД Республика Коми";"2014";"Коновалов А.А.";"";"";"дачный дом";"индивидуальная";"60";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Коновалов А.А.";"";"";"квартира";"долевая, 1/3 доли";"45.5";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Коновалов А.А.";"";"";"машиноместо";"индивидуальная";"10";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Коновалов А.А.";"супруга";"-";"квартира квартира машиноместо";"долевая, 1/3 доли";"45.5";"Россия";"квартира";"70";"Россия";"-";"";""
"МВД Республика Коми";"2014";"Коновалов А.А.";"супруга";"";"квартира";"индивидуальная";"85.1";"Россия";"земельный участок";"800";"Россия";"";"";""
"МВД Республика Коми";"2014";"Коновалов А.А.";"супруга";"";"машиноместо";"индивидуальная";"10";"Россия";"дачный дом";"60";"Россия";"";"";""
"МВД Республика Коми";"2014";"Остриков А.В.";"";"заместитель министра внутренних дел по Республике Коми";"земельный участок";"индивидуальная";"712";"Россия";"квартира";"11.3";"Белоруссия";"Тойота Ланд крузер, 2004 г.в. УАЗ 3909, 2000 г.в.";"1710505.18";""
"МВД Республика Коми";"2014";"Остриков А.В.";"";"";"жилой дом";"индивидуальная";"53.2";"Россия";"квартира";"42.7";"Россия";"";"";""
"МВД Республика Коми";"2014";"Остриков А.В.";"";"";"жилой дом";"совместная с Остриковой С.А.";"67.3";"Белоруссия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"";"заместитель министра внутренних дел по Республике Коми-начальник Следственного управления";"земельный участок";"индивидуальная";"1000";"Россия";"-";"-";"-";"-";"1952984.85";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"";"";"дачный дом";"индивидуальная";"72";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"";"";"квартира";"долевая, 1/3 доли";"67";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"";"";"квартира";"долевая, 1/4 доли";"69.8";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"";"";"квартира";"индивидуальная";"37.4";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"супруга";"";"квартира";"долевая, 1/4 доли";"69.8";"Россия Россия";"-";"-";"-";"Фольксваген тигуан, 2011 г.в.";"526416.72";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"супруга";"";"квартира";"долевая, 1/4 доли";"89";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"дочь";"";"";"";"";"";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Хаславский Р.М.";"дочь";"";"";"";"";"";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Блохин О.В.";"";"начальник управления ГИБДД МВД по Республике Коми";"земельный участок";"индивидуальная";"2017";"Россия";"земельный участок";"1148";"Россия";"Фольксваген Пассат, 2011 г.в.";"1673931.74";""
"МВД Республика Коми";"2014";"Блохин О.В.";"";"";"земельный участок";"индивидуальная";"883";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Блохин О.В.";"";"";"квартира";"долевая, 1/2 доли";"82.2";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Блохин О.В.";"";"";"квартира";"индивидуальная";"44.1";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Блохин О.В.";"";"";"Баня";"индивидуальная";"20";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Блохин О.В.";"супруга";"";"квартира";"долевая, 1/2 доли";"82.2";"Россия";"-";"-";"-";"-";"610942.42000000004";""
"МВД Республика Коми";"2014";"Блохин О.В.";"супруга";"";"квартира";"долевая, 1/2 доли";"45.8";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Фролов Ю.А.";"";"командир ОМОН МВД по Республике Коми (дислокация г. Воркута)";"квартира";"индивидуальная";"52.9";"Россия";"квартира";"71.3";"Россия";"-";"2849634.14";""
"МВД Республика Коми";"2014";"Фролов Ю.А.";"";"";"квартира";"индивидуальная";"48.8";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Фролов Ю.А.";"супруга";"";"квартира";"индивидуальная";"52.7";"Россия";"-";"-";"-";"-";"685774.79";""
"МВД Республика Коми";"2014";"Фролов Ю.А.";"супруга";"";"квартира";"индивидуальная";"44.5";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Фролов Ю.А.";"супруга";"";"квартира";"долевая, 1/2 доли";"71.3";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Фролов Ю.А.";"дочь";"";"квартира";"долевая, 1/2 доли";"71.3";"Россия";"-";"-";"-";"-";"-";""
"МВД Республика Коми";"2014";"Терзи А.И.";"";"командир ОМОН МВД по Республике Коми (дислокация г. Сыктывкар)";"квартира";"долевая, 3/7 доли";"79.2";"Россия";"-";"-";"-";"Лэнд ровер, 2010 г.в.";"2434393";""
"МВД Республика Коми";"2014";"Терзи А.И.";"супруга";"";"земельный участок";"индивидуальная";"618";"Россия";"-";"-";"-";"-";"209250";""
"МВД Республика Коми";"2014";"Терзи А.И.";"супруга";"";"земельный участок";"долевая, 1/9 доли";"1309";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Терзи А.И.";"супруга";"";"дачный дом";"индивидуальная";"37";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Терзи А.И.";"супруга";"";"жилой дом";"долевая, 1/9 доли";"103";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Терзи А.И.";"супруга";"";"квартира";"долевая, 3/7 доли";"79.2";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Терзи А.И.";"дочь";"";"-";"-";"-";"-";"квартира";"36";"Россия";"-";"-";""
"МВД Республика Коми";"2014";"Тарасенко Р.В.";"";"командир СОБР МВД по Республике Коми";"квартира квартира";"индивидуальная";"60";"Россия";"-";"-";"-";"Опель антара, 2012 г.в.";"2054539.95";""
"МВД Республика Коми";"2014";"Тарасенко Р.В.";"";"";"квартира";"совместная";"50.6";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2014";"Тарасенко Р.В.";"супруга";"";"квартира квартира";"долевая, 1/4 доли";"60";"Россия";"-";"-";"-";"-";"522825.21";""
"МВД Республика Коми";"2014";"Тарасенко Р.В.";"супруга";"";"квартира";"совместная";"50.6";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Жуковский А.Н.";"";"Министр внутренних дел по Республике Коми";"квартира";"долевая 1/2 доли";"104.7";"Россия";"квартира";"192.0";"Россия";"-";"2703071.56";"-"
"МВД Республика Коми";"2013";"Жуковский А.Н.";"";"";"гараж";"индивидуальная";"17.8";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Жуковский А.Н.";"Супруга";"-";"квартира";"долевая 1/2 доли";"104.7";"Россия";"дачный земельный участок";"2000";"Россия";"Легковой автомобиль NISSAN JUKE, 2011 г.в.";"-";"-"
"МВД Республика Коми";"2013";"Жуковский А.Н.";"Супруга";"";"";"";"";"";"дом с хоз. постройками";"350";"Россия";"";"";""
"МВД Республика Коми";"2013";"Жуковский А.Н.";"Супруга";"";"";"";"";"";"квартира";"192";"Россия";"";"";""
"МВД Республика Коми";"2013";"Блохин О.В.";"";"Начальник управления ГИБДД МВД по Республике Коми";"земельный участок";"индивидуальный";"2017";"Россия";"земельный участок";"1148";"Россия";"легковой автомобиль VOLKSWAGEN PASSAT, 2011 г.в.";"1940255.01";"-"
"МВД Республика Коми";"2013";"Блохин О.В.";"";"";"квартиры";"долевая 1/2 доли";"82.2";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Блохин О.В.";"";"";"нежилое помещен.";"индивидуальное";"20.0";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Блохин О.В.";"";"";"баня";"индивидуальное";"44";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Блохин О.В.";"Супруга";"-";"квартира";"долевая 1/2 доли";"82.2";"Россия";"-";"-";"-";"-";"555159.84";"-"
"МВД Республика Коми";"2013";"Блохин О.В.";"Супруга";"";"квартира";"долевая 1/2 доли";"45.8";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Дильмухаметов В.М.";"";"Командир ОМОН МВД по Республике Коми (дислокация: г.Сыктывкар)";"-";"-";"-";"-";"квартира";"68.7";"Россия";"легковой автомобиль TOYOTA LAND CRUZER, 2011 г.в.";"2086539.1";"-"
"МВД Республика Коми";"2013";"Дильмухаметов В.М.";"";"";"";"";"";"";"квартира";"86.4";"Россия";"NISSAN X-TRAIL, 2008 г.в.";"";""
"МВД Республика Коми";"2013";"Коновалов А.А.";"";"Заместитель министра внутренних дел по Республике Коми – начальник полиции";"квартира";"долевая 1/3 доли";"45.4";"Россия";"квартира";"70";"Россия";"-";"2188350.64";"-"
"МВД Республика Коми";"2013";"Коновалов А.А.";"";"";"место для парковки а/м";"индивидуальная";"10";"Россия";"квартира";"85.1";"Россия";"";"";""
"МВД Республика Коми";"2013";"Коновалов А.А.";"";"";"садовый участок";"индивидуальная";"800";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Коновалов А.А.";"Супруга";"-";"квартира";"долевая 1/3 доли";"45.4";"Россия";"квартира";"70";"Россия";"легковой автомобиль FORD FOCUS, 2011 г.в.";"-";"-"
"МВД Республика Коми";"2013";"Коновалов А.А.";"Супруга";"";"место для парковки а/м";"индивидуальная";"10";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Коновалов А.А.";"Супруга";"";"квартира";"индивидуальная";"85.1";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Остриков А.В.";"";"заместитель министра внутренних дел по Республике Коми";"квартира";"долевая 1/3 доли";"44.6";"Россия";"земельный участок";"113.4";"Белоруссия";"легковой автомобиль TOYOTA LAND CRUSER, 2004 г.в.,";"1953329.97";"-"
"МВД Республика Коми";"2013";"Остриков А.В.";"";"";"жилой дом";"индивидуальная";"67.3";"Белоруссия";"квартира";"87.8";"Россия";"УАЗ-3909";"";""
"МВД Республика Коми";"2013";"Фролов Ю.А.";"";"командир ОМОН МВД по Республике Коми (дислокация: г. Воркута)";"квартира";"индивидуальная";"48.8";"Россия";"квартира";"71.3";"Россия";"-";"3101489.62";"-"
"МВД Республика Коми";"2013";"Фролов Ю.А.";"";"";"квартира";"индивидуальная";"52.9";"Россия";"квартира";"44.5";"Россия";"";"";""
"МВД Республика Коми";"2013";"Фролов Ю.А.";"";"";"";"";"";"";"квартира";"52.7";"Россия";"";"";""
"МВД Республика Коми";"2013";"Фролов Ю.А.";"супруга";"-";"квартира";"индивидуальная";"44.5";"Россия";"квартира";"48.8";"Россия";"-";"513387.47";"-"
"МВД Республика Коми";"2013";"Фролов Ю.А.";"супруга";"";"квартира";"индивидуальная";"52.7";"Россия";"квартира";"52.9";"Россия";"";"";""
"МВД Республика Коми";"2013";"Фролов Ю.А.";"супруга";"";"квартира";"долевая 1/2 доли";"71.3";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Фролов Ю.А.";"дочь";"-";"квартира";"долевая 1/2 доли";"71.3";"Россия";"-";"-";"-";"-";"-";"-"
"МВД Республика Коми";"2013";"Хаславский Р.М.";"";"Заместитель министра внутренних дел по Республике Коми – начальник следственного управления";"квартира";"долевая 1/3 доли";"67";"Россия";"-";"-";"-";"-";"2118657.73";"-"
"МВД Республика Коми";"2013";"Хаславский Р.М.";"";"";"квартира";"долевая 1/4 доли";"69.8";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Хаславский Р.М.";"";"";"дача";"индивидуальная";"72";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Хаславский Р.М.";"супруга";"-";"квартира";"долевая 1/4 доли";"69.8";"Россия";"-";"-";"-";"Легковой автомобиль VOLKSWAGEN TIGUAN, 2011 г.в.";"472511.43";"-"
"МВД Республика Коми";"2013";"Хаславский Р.М.";"супруга";"";"квартира";"долевая 1/4 доли";"89";"Россия";"";"";"";"";"";""
"МВД Республика Коми";"2013";"Хаславский Р.М.";"дочь";"-";"квартира";"долевая 1/4 доли";"69.8";"Россия";"-";"-";"-";"-";"-";"-"
"МВД Республика Коми";"2013";"Хаславский Р.М.";"дочь";"-";"квартира";"долевая 1/4 доли";"69.8";"Россия";"-";"-";"-";"-";"-";"-"
"Прокуратура Республики Коми";"2015";"Бажутов С.А.";"";"прокурор республики";"квартира";"индивид";"72.2";"Россия";"квартира";"103.4";"Россия";"";"4569914.6399999997";""
"Прокуратура Республики Коми";"2015";"Бажутов С.А.";"супруга";"";"";"";"";"";"квартира";"103.4";"Россия";"автомобиль МЕРСЕДЕС БЕНЦ GLK 300";"936112.14";""
"Прокуратура Республики Коми";"2015";"Морозов П.С.";"";"первый заместитель прокурора республики";"гараж";"индивид";"19.8";"Россия";"квартира";"101.5";"Россия";"";"3846951.5";""
"Прокуратура Республики Коми";"2015";"Морозов П.С.";"супруга";"";"квартира";"1/3 долевая";"56.2";"Россия";"квартира";"101.5";"Россия";"автомобиль ТОЙОТА ХАЙЛЕНДЕР";"2839155.93";""
"Прокуратура Республики Коми";"2015";"Морозов П.С.";"супруга";"";"квартира";"индивид";"100.5";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Морозов П.С.";"супруга";"";"квартира";"индивид";"95.9";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Морозов П.С.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"101.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Морозов П.С.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"101.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"";"заместитель прокурора республики";"квартира";"совместная";"63";"Россия";"квартира";"105.4";"Россия";"автомобиль НИССАН ЖУК";"3379953.89";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"";"";"дом";"совместная";"34.4";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"";"";"земельный участок";"совместная";"775";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"";"";"земельный участок";"совместная";"752";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"супруга";"";"квартира";"совместная";"63";"Россия";"";"";"";"";"716164.07";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"супруга";"";"квартира";"совместная";"104";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"супруга";"";"дом";"индивидуалбная";"34.4";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"супруга";"";"земельный участокк";"совместная";"775";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"супруга";"";"земельный участокк";"совместная";"752";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"супруга";"";"земельный участокк";"индивидуальная";"759";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Никонов В.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"104";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Нестеров М.А.";"";"заместитель прокурора республики";"квартира";"индивид";"54.5";"Россия";"";"";"";"автомобиль ХЕНДЭ САНТА ФЕ";"3866466.68";""
"Прокуратура Республики Коми";"2015";"Нестеров М.А.";"";"";"квартира";"долевая 1/2 доли";"72.3";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Нестеров М.А.";"супруга";"";"квартира";"½ долевая";"72.3";"Россия";"квартира";"54.5";"Россия";"";"485323.39";""
"Прокуратура Республики Коми";"2015";"Нестеров М.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"72.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Нестеров М.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"72.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Нестеров М.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"72.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"";"прокурор г. Сыктывкара";"земельный участок";"индивидуальная";"945";"Россия";"";"";"";"автомобиль ФОЛЬКСВАГЕН ГОЛЬФ";"2480737.5299999998";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"";"";"дом";"индивидуальная";"172.6";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"супруга";"";"";"";"";"";"земельный участок";"945";"Россия";"";"302924.83";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"супруга";"";"";"";"";"";"дом";"172.6";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"земельный участок";"945";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"дом";"172.6";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"земельный участок";"945";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"дом";"172.6";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"земельный участок";"945";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"дом";"172.6";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Сарвилин Р.А.";"";"прокурор Эжвинского района города Сыктывкара";"квартира";"¼ долевая";"90.8";"Россия";"";"";"";"ТОЙОТА РАВ 4";"2422035.29";""
"Прокуратура Республики Коми";"2015";"Сарвилин Р.А.";"супруга";"";"земельный участок дом";"индивидуальная";"870";"Россия";"";"";"";"";"2519108.59";""
"Прокуратура Республики Коми";"2015";"Сарвилин Р.А.";"супруга";"";"дом";"индивидуальная";"205";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Сарвилин Р.А.";"супруга";"";"квартира";"¼ долевая";"90.8";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Сарвилин Р.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"90.8";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Сарвилин Р.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"90.8";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Пустаханов А.А.";"";"прокурор города Инты";"квартира";"1/5 долевая";"110.5";"Россия";"";"";"";"автомобиль ФОЛЬКСВАГЕН 2Н АМАРОК";"3016140.34";""
"Прокуратура Республики Коми";"2015";"Пустаханов А.А.";"";"";"";"";"";"";"";"";"";"снегоход АРКТИК КЕТ БЕРКУТ 570 ХТ";"";""
"Прокуратура Республики Коми";"2015";"Пустаханов А.А.";"супруга";"";"квартира";"1/5 долевая";"110.5";"Россия";"";"";"";"";"40129.64";""
"Прокуратура Республики Коми";"2015";"Пустаханов А.А.";"несовершеннолетний ребенок";"";"квартира";"1/5 долевая";"110.5";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Пустаханов А.А.";"несовершеннолетний ребенок";"";"квартира";"1/5 долевая";"110.5";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Пустаханов А.А.";"несовершеннолетний ребенок";"";"квартира";"1/5 долевая";"110.5";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Климов А.Р.";"";"прокурор города Воркуты";"";"";"";"";"квартира";"64.3";"Россия";"";"4460289.01";""
"Прокуратура Республики Коми";"2015";"Климов А.Р.";"";"";"";"";"";"";"квартира";"59.1";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Климов А.Р.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"64.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"";"прокурор Сыктывдинского района";"квартира";"1/100 долевая";"113";"Россия";"";"";"";"автомобиль КИА СПОРТЕЙДЖ";"2374023.6800000002";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"";"";"земельный участок";"индивидуальная";"3500";"Россия";"";"";"";"автомобиль НИВА ШЕВРОЛЕ";"";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"";"";"гараж";"индивидуальная";"23";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"";"";"гараж";"индивидуальная";"21.2";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"";"";"";"";"";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"супруга";"";"квартира";"99/100 долевая";"113";"Россия";"";"";"";"";"782949.98";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"113";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"113";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Макаров Е.Д.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"113";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Урусюзев А.В.";"";"прокурор города Вуктыла";"квартира";"½ долевая";"49.8";"Россия";"кварт ира";"72.400000000000006";"Россия";"автомобиль ФОЛЬКСВАГЕН ПОЛО";"4032236.28";""
"Прокуратура Республики Коми";"2015";"Урусюзев А.В.";"";"";"квартира";"индивидуальная";"44.3";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Урусюзев А.В.";"";"";"земельный участок";"индивидуальная";"1000";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Урусюзев А.В.";"";"";"земельный участок";"индивидуальная";"500";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Урусюзев А.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира квартира";"72.400000000000006";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Урусюзев А.В.";"";"";"";"";"";"";"";"49.8";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Абрамова Т.Н.";"";"прокурор города Сосногорска";"квартира";"1\100";"147.9";"Россия";"";"";"";"";"300700";""
"Прокуратура Республики Коми";"2015";"Абрамова Т.Н.";"";"";"";"долевая";"";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Абрамова Т.Н.";"супруг";"";"квартира";"99/100 долевая";"147.9";"Россия";"";"";"";"";"1688936.12";""
"Прокуратура Республики Коми";"2015";"Абрамова Т.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"147.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Абрамова Т.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"147.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Абрамова Т.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"147.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"";"прокурор Усть-Вымского района";"квартира";"индивидуальная";"78.3";"Россия";"квартира";"54.1";"Россия";"автомобиль ФОЛЬКСВАГЕН АМАРОК";"2579550.5499999998";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"";"";"гараж";"индивидуальная";"19.600000000000001";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"";"";"гараж";"индивидуальная";"19.600000000000001";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"супруга";"";"земельный участок";"индивидуальный";"1192";"";"квартира";"78.3";"Россия";"автомобиль ФОЛЬКСВАГЕН ТИГУАН";"127554.24000000001";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"супруга";"";"земельный участок";"индивидуальный";"538";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"супруга";"";"земельный участок";"индивидуальный";"51999";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"супруга";"";"земельный участок";"индивидуальный";"52000";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"супруга";"";"земельный участок";"индивидуальный";"52000";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"супруга";"";"дом";"индивидуальный";"33.1";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Лихачев А.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"78.3";"Россия";"";"7351.92";""
"Прокуратура Республики Коми";"2015";"Якимов П.А.";"";"прокурор города Ухты";"земельный участок";"индивидуальный";"1050";"Россия";"квартира";"63";"Россия";"автомобиль ФОЛЬКСВАГЕН ДЖЕТТА";"2383531.73";""
"Прокуратура Республики Коми";"2015";"Якимов П.А.";"";"";"гараж";"индивидуальный";"19.8";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Якимов П.А.";"супруга";"";"";"";"";"";"квартира";"63";"Россия";"";"354871.79";""
"Прокуратура Республики Коми";"2015";"Низовцев И.О.";"";"прокурор города Усинска";"";"";"";"";"квартира";"68";"Россия";"автомобиль ФОЛЬКСВАГЕН ТИГУАН";"5181535.83";""
"Прокуратура Республики Коми";"2015";"Низовцев И.О.";"супруга";"";"";"";"";"";"квартира";"68";"Россия";"";"842780.71";""
"Прокуратура Республики Коми";"2015";"Низовцев И.О.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"68";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Скворцов А.В.";"";"прокурор Корткеросского района";"";"";"";"";"квартира";"56";"Россия";"автомобиль КИА ХМ ФЛ СОРЕНТО";"1641514.05";""
"Прокуратура Республики Коми";"2015";"Скворцов А.В.";"";"";"";"";"";"";"квартира";"32.5";"Россия";"НИССАН ТИИДА";"";""
"Прокуратура Республики Коми";"2015";"Скворцов А.В.";"супруга";"";"квартира";"индивидуальная";"56";"Россия";"дом";"54.6";"Россия";"";"1305253.28";""
"Прокуратура Республики Коми";"2015";"Скворцов А.В.";"несовершеннолетний ребенок";"";"";"";"";"";"дом";"54,6 56";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Скворцов А.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"";"прокурор Сысольского района";"квартира";"индивидуальная";"68.099999999999994";"Россия";"квартира";"37.9";"Россия";"автомобиль ФОЛЬКСВАГЕН ТИГУАН";"2420479.5099999998";""
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"";"";"гараж";"индивидуальная";"21.6";"Россия";"квартира";"43.1";"Россия";"";"";""
